corpus,config,kem,replicate,seed,file,extension,family,route,size_bytes,payload_bytes,cipher_bytes,entropy_bits_per_byte,t_io_ms,t_entropy_ms,t_compress_ms,t_kem_keygen_ms,t_kem_encaps_ms,t_kem_decaps_ms,t_kdf_ms,t_aes_encrypt_ms,t_aes_decrypt_ms,t_total_ms,verified,timestamp
D3,B,python,0,20260801,d3_000000.bin,.bin,high,none,72885405,72885405,72885421,7.9972,50.3612,0.0004,0.0007,4.9347,5.5645,7.2384,3.5207,46.0029,0.0,121.1861,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000001.bin,.bin,high,none,53964884,53964884,53964900,7.9973,34.2371,0.0005,0.0007,4.4602,5.5147,7.2035,0.0532,33.917,0.0,87.4714,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000002.bin,.bin,high,none,73228997,73228997,73229013,7.9976,45.5871,0.0004,0.0006,4.4731,5.4957,7.1751,0.0502,45.2898,0.0,110.1383,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000003.bin,.bin,high,none,40683101,40683101,40683117,7.9971,25.3788,0.0004,0.0005,4.4678,5.4905,7.1769,0.0503,25.1118,0.0,69.7366,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000004.bin,.bin,high,none,84254968,84254968,84254984,7.9972,51.4251,0.0004,0.0009,4.465,5.5144,7.1901,0.0527,52.2625,0.0,122.9957,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000005.bin,.bin,high,none,54475661,54475661,54475677,7.9973,31.3466,0.0003,0.0009,4.4758,5.4948,7.1819,0.0537,33.8359,0.0,84.4402,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000006.bin,.bin,high,none,36894960,36894960,36894976,7.9972,26.016,0.0004,0.0005,4.476,5.5024,7.1908,0.0538,22.7966,0.0,68.0888,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000007.bin,.bin,high,none,55318564,55318564,55318580,7.9973,33.6136,0.0003,0.0007,4.4887,5.4742,7.2004,0.0548,33.7189,0.0,86.6258,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000008.bin,.bin,high,none,56876675,56876675,56876691,7.9974,33.5821,0.0007,0.0006,4.5195,5.5594,7.8153,0.0591,34.1624,0.0,87.7435,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000009.bin,.bin,high,none,54818050,54818050,54818066,7.9972,33.3714,0.0004,0.0006,4.4388,5.4857,7.1773,0.0503,32.908,0.0,85.4996,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000010.bin,.bin,high,none,69065459,69065459,69065475,7.9971,42.4005,0.0004,0.0009,4.4669,5.5127,7.1849,0.052,41.6348,0.0,103.325,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000011.bin,.bin,high,none,44083862,44083862,44083878,7.9974,28.1189,0.0004,0.0007,4.4785,5.533,7.3436,0.0537,26.7243,0.0,74.3915,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000012.bin,.bin,high,none,64295659,64295659,64295675,7.9975,39.391,0.0004,0.0006,4.587,5.6078,7.3566,0.0515,38.908,0.0,98.0181,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000013.bin,.bin,high,none,43800334,43800334,43800350,7.9969,25.3161,0.0003,0.0008,4.4947,5.5717,7.1944,0.0538,26.2411,0.0,70.981,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000014.bin,.bin,high,none,36218676,36218676,36218692,7.9972,21.9447,0.0004,0.0005,4.4832,5.4827,7.1699,0.0546,21.8194,0.0,63.0514,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000015.bin,.bin,high,none,24596063,24596063,24596079,7.997,14.7036,0.0004,0.0007,4.6366,5.7509,7.4005,0.0499,15.8576,0.0,50.5455,,2026-08-13T11:05:56
